,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
208,1742,828,8,9,57,18,24,101
209,341,833,13,8,63,11,28,93
210,1265,835,18,23,176,10,82,106
211,818,840,11,9,73,21,24,104
212,1074,840,12,19,138,31,46,114
213,1180,844,11,8,61,13,24,101
214,1724,845,11,15,111,74,32,118
215,1550,847,8,7,42,8,21,96
216,852,848,11,18,91,7,48,103
217,312,850,12,7,63,18,28,101
218,1064,852,8,6,34,4,20,106
219,1115,852,7,9,41,9,19,98
220,1601,852,10,9,70,16,26,98
221,355,857,29,16,215,15,66,107
222,1142,857,10,7,43,7,23,101
223,302,858,16,10,111,33,34,110
224,672,858,15,9,86,11,33,104
225,1085,859,8,9,43,9,21,102
226,733,860,18,15,174,30,53,118
227,1561,860,10,13,94,27,31,106
228,809,863,10,8,55,11,22,104
229,1315,862,26,24,279,17,88,116
230,1575,862,8,8,44,13,20,96
231,1709,862,12,11,84,22,36,103
232,1240,864,13,16,140,31,1,113
233,1673,864,8,11,75,31,27,101
234,256,868,35,17,258,14,78,105
235,723,873,10,10,67,33,24,108
236,1209,884,14,9,92,20,32,104
237,1685,887,27,24,250,12,78,108
238,257,890,12,8,64,33,27,100
239,900,890,17,21,179,37,54,127
240,1161,891,14,12,77,7,36,104
241,1339,891,15,15,101,9,39,100
242,1189,897,12,13,101,21,29,111
243,1747,897,8,13,56,10,29,101
244,331,899,16,14,111,19,38,105
245,785,903,16,13,93,6,37,105
246,1648,903,9,13,65,7,33,96
247,745,909,12,8,39,5,34,96
248,1520,909,10,12,62,7,35,99
249,660,912,18,15,146,21,47,110
250,910,914,9,8,56,34,24,112
251,368,917,32,16,245,25,78,116
252,1704,916,10,11,71,9,33,99
253,1118,920,10,12,78,19,28,103
254,816,923,10,8,57,12,24,100
255,836,924,10,14,102,31,32,111
256,904,925,8,10,63,12,25,108
257,1167,925,11,11,84,11,29,104
258,1546,928,22,20,183,13,63,105
259,1254,930,14,10,85,16,30,103
260,676,938,16,10,99,18,40,106
261,378,940,12,8,68,25,26,98
262,816,940,11,13,105,61,32,118
263,866,941,10,9,68,25,26,103
264,1146,941,12,12,91,17,33,105
265,1652,943,10,11,81,20,27,103
266,699,950,12,11,98,36,32,111
267,1170,953,11,7,55,6,26,101
268,1264,952,19,16,114,19,8,102
269,1569,953,11,8,61,11,25,99
270,781,960,13,10,95,62,30,115
271,1512,960,9,7,39,16,1,101
272,643,962,11,11,85,25,27,105
273,887,965,24,15,188,22,58,114
274,232,967,13,9,75,11,30,100
275,295,967,24,11,171,27,53,107
276,850,966,17,13,128,51,37,119
277,1263,967,12,9,78,83,29,114
278,1519,966,16,14,133,34,42,111
279,628,968,11,9,72,44,26,105
280,725,976,9,11,57,9,28,100
281,780,976,11,8,62,22,25,105
282,1645,977,12,10,71,10,37,102
283,1583,979,17,10,121,34,36,111
284,1690,1124,12,9,76,15,30,99
285,1309,1127,13,12,71,7,1,105
286,294,1129,12,9,77,28,28,111
287,1221,1128,7,11,43,11,23,105
288,654,1131,24,16,184,13,57,110
289,861,1133,8,28,144,9,65,108
290,232,1134,14,10,96,83,33,127
291,707,1134,19,16,152,29,43,118
292,1202,1134,20,14,180,35,2,126
293,416,1136,14,10,95,16,30,114
294,1129,1136,22,23,225,11,79,109
295,1608,1139,11,12,37,4,28,91
296,1672,1140,10,7,44,4,21,98
297,300,1145,15,19,130,19,44,109
298,373,1151,20,29,228,12,1,107
299,797,1150,12,13,88,10,31,105
300,1725,1153,18,9,101,17,40,101
301,1111,1156,10,7,46,16,22,99
302,1582,1157,14,12,81,8,33,89
303,733,1158,10,11,54,11,26,99
304,1352,1159,11,7,47,12,22,101
305,671,1161,10,10,61,11,29,99
306,693,1162,10,8,60,11,27,97
307,1147,1165,15,10,89,15,32,106
308,819,1169,20,13,128,12,48,106
309,795,1171,12,10,70,19,1,106
310,1139,1173,8,13,87,29,29,110
311,1553,1173,11,11,87,59,28,111
312,283,1175,10,23,173,34,51,119
313,640,1179,10,9,67,39,28,102
314,1307,1179,6,8,34,5,20,100
315,747,1184,10,13,77,10,31,101
316,1119,1184,11,16,102,11,36,105
317,1230,1187,13,11,98,25,31,113
318,1730,1189,15,11,85,11,36,102
319,643,1193,11,10,81,32,27,105
320,1200,1193,14,10,76,8,34,104
321,1644,1197,14,6,62,11,28,98
322,330,1198,13,12,88,8,35,98
323,706,1203,8,6,36,7,20,98
324,1180,1202,12,6,45,6,25,100
325,832,1208,14,13,121,55,39,117
326,294,1211,36,21,278,12,87,109
327,1318,1213,16,20,166,24,52,110
328,1256,1215,10,10,82,42,29,107
329,734,1221,12,10,88,19,31,104
330,910,1220,11,10,69,16,34,107
331,616,1223,10,9,59,13,22,98
332,788,1224,28,15,198,36,68,121
333,872,1225,33,21,250,16,70,119
334,1553,1226,9,10,67,21,24,101
335,846,1228,20,19,185,19,65,120
336,612,1234,6,8,34,5,18,93
337,360,1239,11,8,54,10,23,100
338,1533,1241,12,5,44,8,24,95
339,800,1242,9,7,41,14,19,104
340,1340,1245,21,13,160,19,49,108
341,350,1249,13,8,71,25,28,103
342,835,1248,12,10,91,47,28,110
343,1107,1250,7,9,42,10,19,99
344,1693,1252,16,14,129,33,36,111
345,1181,1255,14,10,88,14,36,106
346,261,1257,10,22,123,11,51,103
347,303,1256,22,12,157,31,48,108
348,747,1256,20,9,119,12,43,103
349,597,1261,12,8,74,25,27,97
350,773,1260,10,7,51,12,25,100
351,1567,1260,20,13,142,22,52,107
352,1249,1263,10,9,53,9,23,102
353,891,1264,10,9,68,33,24,108
354,1347,1269,10,10,79,80,26,114
355,1091,1270,16,9,95,12,35,104
356,1329,1271,10,12,90,28,29,108
357,1519,1271,13,14,107,12,34,108
358,837,1273,17,24,176,18,57,116
359,1367,1276,25,27,265,9,81,116
360,1582,1276,28,21,235,10,86,107
361,1136,1282,16,22,157,13,52,110
362,1284,1290,12,13,83,9,1,103
363,728,1292,14,9,78,8,29,100
364,374,1295,12,9,77,22,26,104
365,692,1294,16,14,137,28,39,110
366,1094,1296,14,17,153,40,52,127
367,882,1303,12,10,87,34,30,110
368,1718,1304,26,18,163,6,69,102
369,1244,1306,10,9,57,12,24,104
370,398,1308,30,14,246,62,69,123
371,716,1308,10,10,81,40,27,107
372,822,1309,11,16,130,31,39,112
373,1582,1308,14,11,107,37,32,106
374,436,1311,15,10,94,38,35,108
375,1174,1318,20,9,126,15,43,106
376,1646,1319,9,9,62,22,24,100
377,1102,1326,11,13,96,11,37,107
378,1582,1327,8,9,54,11,22,98
379,600,1330,14,14,147,48,1,122
380,1651,1330,24,12,137,12,53,100
381,358,1334,12,13,112,12,37,105
382,398,1335,14,11,96,40,37,113
383,1181,1336,31,14,159,6,69,104
384,1709,1337,10,12,85,33,28,108
385,1267,1338,10,18,115,15,43,109
386,445,1340,12,12,103,53,29,115
387,1116,1341,11,10,68,10,26,103
388,1369,1341,9,12,79,43,27,110
389,237,1351,14,9,93,20,33,102
390,1657,1351,38,48,384,10,3,105
391,1383,1356,10,8,40,5,25,104
392,1515,1356,10,10,80,47,27,101
393,1097,1358,12,11,76,18,34,107
394,381,1360,14,10,88,22,1,103
395,913,1360,9,13,83,42,32,112
396,1085,1360,6,8,37,12,17,102
397,1155,1361,10,10,84,87,28,116
398,443,1363,11,10,80,35,28,109
399,699,1363,10,21,143,26,56,109
400,1217,1365,12,7,51,7,24,102
401,869,1366,15,9,94,16,34,108
